Bottom,Height,Top,Mass_cup,Mass_lid,Mass_packaging
2.54055,4.04055,2.84055,0.0061987,0.0053464,0.0056161
2.54055,4.04055,2.94055,0.0063037,0.005442,0.0059379
2.54055,4.04055,3.04055,0.0064096,0.0055377,0.0062663
2.54055,4.04055,3.14055,0.0065165,0.0056333,0.0066013
2.54055,4.04055,3.24055,0.0066244,0.005729,0.006943
2.54055,4.04055,3.34055,0.0067334,0.0058246,0.0072914
2.54055,4.04055,3.44055,0.0068435,0.0059203,0.0076464
2.54055,4.04055,3.54055,0.0069548,0.0060159,0.008008
2.54055,3.94055,2.54055,0.0068046,0.0050594,0.0046908
2.54055,3.94055,2.64055,0.0058627,0.005155,0.0049926
2.54055,3.94055,2.74055,0.0059635,0.0052506,0.005301
2.54055,3.94055,2.84055,0.0060651,0.0053462,0.0056161
2.54055,3.94055,2.94055,0.0061676,0.0054417,0.0059379
2.54055,3.94055,3.04055,0.0062711,0.0055373,0.0062663
2.54055,3.94055,3.14055,0.0063756,0.0056329,0.0066013
2.54055,3.94055,3.24055,0.0064811,0.0057285,0.006943
2.54055,3.94055,3.34055,0.0065878,0.005824,0.0072914
2.54055,3.94055,3.44055,0.0066956,0.0059196,0.0076464
2.54055,3.94055,3.54055,0.0068046,0.0060152,0.008008
2.54055,3.84055,2.54055,0.0056366,0.0050594,0.0046908
2.54055,3.84055,2.64055,0.005734,0.0051549,0.0049926
2.54055,3.84055,2.74055,0.0058323,0.0052504,0.005301
2.54055,3.84055,2.84055,0.0059314,0.0053459,0.0056161
2.54055,3.84055,2.94055,0.0060315,0.0054414,0.0059379
2.54055,3.84055,3.04055,0.0061326,0.0055369,0.0062663
2.54055,3.84055,3.14055,0.0062347,0.0056324,0.0066013
2.54055,3.84055,3.24055,0.0063379,0.0057279,0.006943
2.54055,3.84055,3.34055,0.0064422,0.0058234,0.0072914
2.54055,3.84055,3.44055,0.0065477,0.0059189,0.0076464
2.54055,3.84055,3.54055,0.0066545,0.0060144,0.008008
2.54055,3.74055,2.54055,0.0055104,0.0050594,0.0046908
2.54055,3.74055,2.64055,0.0056053,0.0051549,0.0049926
2.54055,3.74055,2.74055,0.0057011,0.0052503,0.005301
2.54055,3.74055,2.84055,0.0057978,0.0053457,0.0056161
2.54055,3.74055,2.94055,0.0058954,0.0054411,0.0059379
2.54055,3.74055,3.04055,0.0059941,0.0055365,0.0062663
2.54055,3.74055,3.14055,0.0060938,0.005632,0.0066013
2.54055,3.74055,3.24055,0.0061947,0.0057274,0.006943
2.54055,3.74055,3.34055,0.0062967,0.0058228,0.0072914
2.54055,3.74055,3.44055,0.0064,0.0059182,0.0076464
2.54055,3.74055,3.54055,0.0065044,0.0060136,0.008008
2.54055,3.64055,2.54055,0.0053842,0.0050594,0.0046908
2.54055,3.64055,2.64055,0.0054766,0.0051548,0.0049926
2.54055,3.64055,2.74055,0.0055699,0.0052501,0.005301
2.54055,3.64055,2.84055,0.0056641,0.0053454,0.0056161
2.54055,3.64055,2.94055,0.0057594,0.0054408,0.0059379
2.54055,3.64055,3.04055,0.0058556,0.0055361,0.0062663
2.54055,3.64055,3.14055,0.005953,0.0056315,0.0066013
2.54055,3.64055,3.24055,0.0060515,0.0057268,0.006943
2.54055,3.64055,3.34055,0.0061513,0.0058221,0.0072914
2.54055,3.64055,3.44055,0.0062522,0.0059175,0.0076464
2.54055,3.64055,3.54055,0.0063545,0.0060128,0.008008
2.44055,4.34055,2.44055,0.005988,0.0048625,0.0043956
2.44055,4.34055,2.54055,0.0060979,0.0049583,0.0046908
2.44055,4.34055,2.64055,0.0062085,0.0050541,0.0049926
2.44055,4.34055,2.74055,0.0063199,0.00515,0.005301
2.44055,4.34055,2.84055,0.0064321,0.0052458,0.0056161
2.44055,4.34055,2.94055,0.0065451,0.0053417,0.0059379
2.44055,4.34055,3.04055,0.006659,0.0054375,0.0062663
2.44055,4.34055,3.14055,0.0067739,0.0055334,0.0066013
2.44055,4.34055,3.24055,0.0068897,0.0056292,0.006943
